size,beds ,floors,age,Price
1366,2,1,11,381.0
2143,3,2,26,511.5
2047,3,,30,512.3
1135,2,1,69,264.9
1220,2,1,41,308.6
1128,2,1,12,324.6
1639,3,2,31,460.9
1325,2,2,100,246.6
1740,2,1,66,371.1
720,1,1,14,203.8
2300,5,2,28,584.3
1306,3,2,26,388.5
1701,3,2,100,388.6
1289,1,1,28,310.6
1187,1,1,41,288.4
1580,3,1,8,434.9
1787,1,2,29,427.3
1260,2,1,16,345.2
1282,3,1,26,348.0
1704,3,2,9,458.4
1004,2,1,42,261.5
807,1,1,11,260.2
1544,4,2,33,373.5
1075,1,1,9,290.2
720,1,1,24,187.7
1024,2,1,51,256.4
1152,3,1,18,310.2
900,1,1,52,236.4
813,2,1,11,292.7
1367,2,1,43,299.2
1832,2,2,23,430.0
1247,3,1,29,341.7
1048,3,1,16,346.2
1539,3,2,38,410.2
1723,3,2,34,439.9
1219,1,2,22,325.6
1625,2,2,62,359.6
1925,3,2,41,467.9
1258,2,1,27,338.5
1024,2,1,12,303.4
1519,2,2,24,376.8
1469,2,1,45,306.9
1961,3,2,14,472.8
872,1,1,32,230.2
1078,2,2,93,210.0
1015,2,1,29,287.8
749,2,1,88,135.1
1409,2,2,31,356.2
1615,3,2,,428.4
1050,1,1,56,266.2
2162,4,2,28,532.6
1785,3,1,26,464.0
1671,2,2,26,402.1
1548,3,2,62,349.0
1868,3,2,71,443.0
858,2,1,40,218.5
1663,3,2,7,442.7
1657,3,2,54,354.0
740,1,1,7,268.7
1519,2,2,16,416.7
1240,2,2,82,261.0
1761,2,1,22,380.7
1163,3,2,100,263.9
1342,1,1,,344.0
1517,2,1,60,367.0
1002,2,1,99,248.9
1655,3,1,70,370.5
1303,2,2,19,351.5
1596,3,2,39,394.9
1131,3,1,25,309.4
1953,3,1,100,354.4
1658,4,2,58,381.7
1271,1,2,61,293.2
1674,3,1,25,375.6
2072,3,2,38,456.4
2482,4,2,41,600.8
791,1,1,40,199.7
1823,4,2,47,464.4
1581,2,2,21,431.8
1308,2,1,56,305.0
959,2,1,18,301.3
2070,4,2,35,498.2
879,2,1,100,159.4
1637,3,2,20,425.4
2102,4,2,25,520.6
784,1,1,31,227.2
1218,2,1,24,323.8
865,1,1,17,244.1
1467,2,1,32,384.7
2259,4,2,20,548.0
2686,4,2,36,603.6
738,1,1,13,257.2
1110,2,2,20,296.5
1715,4,1,17,442.9
2310,4,2,30,587.3
1558,3,2,45,389.1
1048,1,2,36,315.5
1494,2,1,12,378.9
1342,2,1,4,353.5
1260,2,1,26,323.9
1052,2,1,77,222.9
1540,2,2,63,345.3
1499,3,1,43,354.4
1308,2,1,46,335.0
1252,1,1,35,315.2
872,1,1,17,250.2
1144,1,2,43,273.4
2035,3,1,20,564.2
1265,1,2,22,330.7
827,1,1,95,199.0
2125,4,2,20,500.3
1617,3,2,100,322.9
2764,4,2,14,680.9
1379,2,1,9,341.0
1154,2,,29,279.7
825,2,1,14,260.0
2117,4,2,25,504.4
3234,5,2,34,720.3
1021,1,1,23,279.8
1083,3,1,59,293.6
1653,3,1,42,398.6
1018,2,1,48,267.9
1231,2,1,49,330.5
1199,1,1,22,343.7
1441,2,2,15,378.0
1959,3,2,100,358.3
1360,3,1,21,338.7
1845,3,1,41,456.0
1170,1,1,30,284.4
1509,2,1,50,331.1
720,1,1,90,140.2
825,2,1,51,261.0
1770,3,2,59,413.1
1105,3,1,100,224.6
1644,3,1,76,340.1
1623,3,2,63,354.3
2116,4,2,30,584.7
1779,2,2,18,444.0
1908,4,2,69,441.5
1300,2,1,39,314.1
1065,1,2,7,340.8
1053,2,1,22,270.3
1144,2,1,14,273.3
919,1,1,47,218.6
1121,2,1,8,329.8
1308,2,2,33,398.0
1471,2,1,5,386.7
1203,2,1,50,271.8
720,1,1,84,152.0
1317,1,2,45,302.2
1457,2,1,55,314.6
1952,2,2,36,459.8
1643,2,2,49,394.8
1085,2,1,36,269.9
1056,2,1,34,309.1
2674,4,2,42,603.8
1746,3,2,48,421.7
2516,5,2,31,587.6
2785,4,,24,653.7
1022,2,1,8,313.7
1539,2,1,45,375.0
1578,2,1,25,367.4
1633,3,2,31,431.6
1623,2,1,36,370.0
1446,2,2,100,300.7
1432,3,1,37,377.5
810,1,1,33,264.1
1276,2,1,,323.5
1047,1,1,48,228.1
1409,1,1,24,349.4
1152,2,1,17,347.6
1666,2,1,85,332.3
1784,4,1,40,490.6
1499,2,1,43,308.4
1503,3,1,30,416.2
1393,2,1,52,353.4
1159,3,,27,347.3
